ఆఫ్రికా	非洲
హెచ్.డి.దేవెగౌడ	德韋·高達
మేఘనాధ్ సాహా	梅格納德·薩哈
ఆవశ్యక కొవ్వు ఆమ్లం	必需脂肪酸
చక్రవర్తి రాజగోపాలాచారి	查克拉瓦尔蒂·拉贾戈巴拉查理
వట్టివేరు	香根草
నరసాపురం (పశ్చిమ గోదావరి)	纳尔萨普尔
ఏకస్వామ్యపు పోటీ	垄断性竞争
చిక్కుడు	豆类
అద్వైత	阿德维塔
బీజకోశం	胚珠
వృత్తి చికిత్స	職能治療
మోతీలాల్ నెహ్రూ	莫逖拉尔·尼赫鲁
పశుపతినాథ్	帕斯帕提那寺
కార్పొరేట్ పాలన	公司治理
సేంద్రీయ ఆహారం	有機食品
షణ్ముఖుడు	室建陀
ఫాస్ట్ అండ్ ఫ్యూరియస్	玩命關頭4
సంపూర్ణ నాణ్యతా నిర్వహణ	全面品质管理
ప్రతిజ్ఞ	宣誓
జల్లెడ	筛分
ఇస్రా మరియు మేరాజ్	夜行登霄
ఒలింపిక్ చిహ్నం	奥林匹克五环
వికాస్ స్వరూప్	維卡斯·史瓦盧普
ముహమ్మద్ బిన్ తుగ్లక్	穆罕默德·賓·圖格魯克
స్కాచ్ విస్కీ	蘇格蘭威士忌
దేశాల జాబితా – ఎగుమతుల క్రమంలో	各国出口额列表
సముద్రపాల	美丽银背藤
విద్యుత్తు ఉత్పత్తి	發電
నిర్మాణము	建築工地
కురుక్షేత్ర సంగ్రామం	俱盧之戰
నేతాజీ సుభాష్ చంద్రబోస్ అంతర్జాతీయ విమానాశ్రయం	内塔吉·苏巴斯·钱德拉·鲍斯国际机场
స్వాత్ లోయ	斯瓦特县
గుండె రక్తనాళాల వ్యాధి	心血管疾病
పాటలీపుత్ర	巴連弗邑
అగస్త్య మహర్షి	投山仙人
బుల్లెట్‌ప్రూఫ్ జాకెట్	護甲
ఆగా ఖాన్	阿迦汗
అగ్ని (దేవుడు)	阿耆尼
ఇండియన్ ప్రీమియర్ లీగ్	印度超級板球聯賽
అహ్మదాబాద్	艾哈迈达巴德县
అహ్మద్‌నగర్ జిల్లా	艾哈邁德訥格爾縣
ఆపరేషన్ బ్లూస్టార్	楓糖尿症
దుంపరాష్ట్రము	大高良薑
కార్గిల్ యుద్ధము	卡吉尔战争
బంగారు పతకం	金牌
ముంబయి విశ్వవిద్యాలయం	孟買大學
థియోఫిలిన్	茶碱
ఏయిర్ ఇండియా ఎక్స్ ప్రెస్	印度航空快運
లినొలిక్ ఆమ్లం	亚油酸
ఖైటోసాన్	壳聚糖
మిథైల్ ఆరెంజ్	甲基橙
బెంజిడిన్	联苯胺
ఫెనైటోయిన్	苯妥英
ఏంఫోటెరిసిన్ బి	两性霉素B
పామిటొలిక్ ఆమ్లం	棕榈油酸
అజ్మీర్ జిల్లా	阿傑梅爾縣
క్లోట్రిమజోల్	克催瑪汝
బొంత జెముడు	火殃勒
పొటాషియం సిట్రేట్	檸檬酸鉀
మోనజైట్	獨居石
డిగాక్సిన్	地高辛
జెంటామైసిన్	庆大霉素
కాప్రోయిక్ ఆమ్లం	己酸
డిడనొసిన్	地达诺新
కాప్రిక్ ఆమ్లం	癸酸
లారిక్ ఆమ్లం	月桂酸
లామివుడిన్	拉米夫定
ఇయోసిన్	伊红
క్రోమిక్ ఆమ్లం	铬酸
ఎఫావిరెంజ్	依法韦仑
జీవాణుపుంజం (బయోపాలిమర్)	生物聚合物
రిఫాంపిసిన్	利福平
మిరిస్టిక్ ఆమ్లం	肉豆蔻酸
నీలిమందు	靛蓝
ప్రొపియోనిక్ ఆమ్లం	丙酸
నియోమైసిన్	新霉素
బిబిసి వరల్డ్ సర్వీస్	英國廣播公司國際頻道
అల్ అక్సా మస్జిద్	阿克萨清真寺
ఆంథోని బౌర్డెన్	安東尼·波登
సైఫన్	虹吸
వంట నూనె	食用油
కంప్యూటర్ ఇంజనీరింగ్	計算機工程
కాకర	苦瓜
మస్జిదుల్ హరామ్	禁寺
బళ్లారి	贝拉里
సాంగ్లీ	桑格利
ఐట్రాన్స్	ITRANS
నల్లపాముల గద్ద	大冠鷲
మూస	模板
నికొలో డా కాంటి	尼科洛·达·康提
గుత్తా జ్వాల	瓦拉·古塔
పి.వి. సింధు	普萨拉·文卡塔·辛德胡
ఆల్వార్ జిల్లా	阿爾瓦爾縣
గూగుల్ అప్ ఇంజిన్	Google App Engine
అమర్నాథ్	阿马尔纳特石窟
రాయితీ నగదు ప్రవాహం	贴现
అంబాలా	安巴拉
వెస్ట్‌మిన్‌స్టర్ వంతెన	西敏橋
సవ్యసాచిత్వం	两手同利
హస్తినాపురం	哈斯蒂纳普尔
మధురం	甜味
స్కేల	Scala
డార్జిలింగ్ హిమాలయన్ రైల్వే	大吉嶺喜馬拉雅鐵路
అంతర్జాతీయ జీవవైవిధ్య దినోత్సవం	生物多样性国际日
దలేర్ మెహంది	達雷爾·馬哈帝
డిసెంబర్ 2005	2005年12月
సైనా నెహ్వాల్	塞娜·内维尔
ఈద్-ఉల్-ఫితర్	開齋節
జయ బచ్చన్	贾雅·巴克罕
నోర్టెల్	北电网络
ప్రపంచ ఆహార దినోత్సవం	世界粮食日
ఫూలన్ దేవి	普兰·黛维
తూర్పు కనుమలు	東高止山脈
రజియా సుల్తానా	拉齊婭
అమెరికన్ ఇన్స్టిట్యూట్ ఆఫ్ ఏరోనాటిక్స్ అండ్ ఏస్ట్రోనాటిక్స్	美国航天航空学会
జుంపా లహరి	鍾芭·拉希莉
మర్రి	榕亞屬
అనుష్క శర్మ	艾魯絲卡·沙瑪
రేఖ	瑞卡
వహీదా రెహమాన్	凡伊芳妲·李曼
దియా మిర్జా	迪雅·梅莎
రీబాక్	锐步
అమెరికన్ సైకో	美國殺人魔 (小說)
హొయసల సామ్రాజ్యం	曷萨拉王朝
రామన్ ఎఫెక్ట్	拉曼效应
అమెరికన్ సొసైటీ ఆఫ్ మెకానికల్ ఇంజనీర్స్	美國機械工程師學會
ప్రతిభ	資優
కేంద్రపాలిత ప్రాంతము	中央直辖区
మీర్ ఉస్మాన్ అలీ ఖాన్	阿萨夫·贾赫七世
శివ లింగము	林伽
గుడ్లగూబ కోతి	夜猴屬
అంతర్జాతీయ స్త్రీ హింసా వ్యతిరేక దినము	国际消除对妇女的暴力日
సల్మాన్ అమిన్ ఖాన్	薩爾曼·可汗
అసాధారణ పరిస్థితి నిర్వహణ	异常处理
మొగిలి	露兜树属
దేశాల జాబితా – తలసరి బీరు వినియోగం	各国人均啤酒消费量列表
సీతాఫలం	牛心番荔枝
ఉల్బం	羊膜
ప్రపంచ ఆర్థిక వ్యవస్థ	世界經濟
ది క్రానికల్స్ ఆఫ్ నార్నియా: ది వాయేజ్ ఆఫ్ ది డాన్ ట్రీడెర్	納尼亞傳奇：黎明行者號
దాహము	口渴
పద్మాసనము	跏趺坐
నౌకానిర్మాణం	造船
స్టాక్ మార్కెట్	股票市场
ప్రపంచ ఆరోగ్య దినం	世界卫生日
కూర్మావతారము	俱利摩
కల్క్యావతారము	迦樂季
పల్లకి	轿
విశ్వకర్మ	毘首羯磨
శారీరక భాష	肢体语言
చిత్రము	图像
పాశ్చాత్య సంస్కృతి	西方文化
ఏమీ ఆడమ్స్	艾美·亞當斯
షరియా	伊斯蘭教法
గజము (పొడవు)	码
పారాచూట్	降落伞
వెన్నెముక	脊椎
బ్రయాన్ ఆడమ్స్	布莱恩·亚当斯
శామ్‌సంగ్ గాలక్సీ Y	三星Galaxy Y
విండోస్ 98	Windows 98
వికీమానియా	維基媒體國際會議
కళా ప్రక్రియ	類型 (藝術)
ది క్రానికల్స్ ఆఫ్ నార్నియా	納尼亞傳奇
రియో ఫెర్డినాండ్	里奧·費迪南
ఆసియా క్రీడలు	亚洲运动会
కళాకారుడు	艺术家
వాల్-మార్ట్	沃尔玛
అలన్ షేరర్	阿兰·希勒
క్లౌడ్ కంప్యూటింగ్	雲端運算
సున్నీ ఇస్లాం	遜尼派
సత్య సాయి బాబా	實諦·賽·巴巴
షిండ్లర్స్ లిస్ట్	辛德勒的名单
పేపాల్	PayPal
ముహమ్మద్ ఇక్బాల్	穆罕默德·伊克巴勒
ఫిఖహ్	伊斯蘭教法學
అలిస్ ఇన్ చెయిన్స్	爱丽丝囚徒
గురువు	上师
నాయకత్వం	領袖
ఉపరితలం	曲面
కులం	种姓制度
పెసలు	绿豆
బమియాన్ బుద్ధ విగ్రహాలు	巴米揚大佛
ఇ-కామర్స్	电子商务
వాసన	氣味
ఔరంగజేబు	奥朗则布
రెడ్ హ్యాట్	紅帽公司
వికీమీడియా కామన్స్	客户关系管理
ఆనంద్(గుజరాత్)	阿南德县
క్షారం	碱
చికెన్ పులావ్	抓饭
పొడవైన నదుల జాబితా	世界河流列表
మస్జిదె నబవి	先知寺
హుమాయూన్	胡马雍
ఇస్లామోఫోబియా	伊斯兰恐惧症
కేంబ్రిడ్జ్ డ్యూక్ ప్రిన్స్ విలియమ్స్ మరియు కేథరీన్ మిడిల్టన్ ల వివాహం	剑桥公爵威廉王子与凯特·米德尔顿的婚礼
పార్లమెంటు సభ్యుడు	国会议员
ప్రైస్‌వాటర్‌హౌస్‌కూపర్స్	普华永道
నీలి చిత్రాల నటులు	色情演員
మ్యాక్‌బుక్ ఎయిర్	MacBook Air
ఎర్నెస్ట్	安永
అగార్	阿加尔
ఏడు పురాతన ప్రపంచ అద్భుతాలు	古代世界七大奇迹
ఇజ్రాయీల్	亚兹拉尔
ఆదోని	阿多尼
డెలాయిట్	德勤
రజస్వల	初潮
వైద్య కళాశాల	醫學院
వజ్ర సూత్రం	金剛經
ఆదిలాబాద్	阿迪拉巴德
ప్రత్యేక ఆర్థిక మండలి	经济特区
శామ్‌సంగ్ గాలక్సీ ఏస్	三星Galaxy Ace
దాగలి	砧骨
పుష్పక విమానము	維摩那
నోకియా 1100	诺基亚 1100
అలసంద	豇豆
చరాస్తి	動產
కర్ణాంతరాస్థి	镫骨
సైక్లోస్టొమేటా	圆口纲
అంతాక్షరి	Antakshari
లోగానియేసి	馬錢科
కంపెనీ ఆఫ్ హీరోస్	英雄连
తాటి ముంజలు	糖棕
కాలింపాంగ్	噶倫堡
మధ్య చెవి	中耳
రిషికేశ్	瑞诗凯诗
జానీ వాకర్	尊尼获加
చెన్నై అంతర్జాతీయ విమానాశ్రయం	金奈国际机场
మృదులాస్థి	软骨
అ	次開央元音
కెంపెగౌడ అంతర్జాతీయ విమానాశ్రయం	班加罗尔国际机场
స్పిగ్మోమానోమీటరు	血压计
ఛత్రపతి శివాజీ అంతర్జాతీయ విమానాశ్రయం	贾特拉帕蒂·希瓦吉国际机场
అపాచే టాంక్యాట్	Apache Tomcat
ఔషధ తయారీ సంస్థలు	制药工程
ఈక్విలిబ్రియమ్(చిత్రం)	撕裂的末日
ఇంటర్నల్ రేట్ అఫ్ రిటర్న్	內部報酬率
అర్హీనియస్ ఆమ్ల క్షార సిద్ధాంతము	阿伦尼乌斯方程
నెస్టోరిని	啄羊鸚鵡屬
ఆలమ్నీ	校友
2009 UEFA ఛాంపియన్స్ లీగ్ ఫైనల్	2009年欧洲冠军联赛决赛
హృదయగతిప్రేరకం	房室结
గూగుల్ యాప్స్	Google Apps
బ్రాండ్ ధర్మం (బ్రాండ్ ఈక్విటీ)	品牌權益
టిబ్కో	TIBCO软件公司
ఈదుల్ అజ్ హా	古尔邦节
ప్రేమ పక్షులు	情侶鸚鵡
శ్వాసలో గురక	喘鳴
జి స్పాట్	G点
అంగుల్	阿努古尔
ఎంటమీబా	内阿米巴属
దావణగెరె	达文盖雷
అకోలా జిల్లా	阿科拉縣
బాగల్‌కోట్	巴加尔科特
గదగ్	加达格-贝蒂盖里
లీష్మానియా	利什曼原蟲
ఎర్ర జిల్లేడు	牛角瓜
సిర్సా (హర్యానా)	斯爾薩縣
రేవా	雷瓦縣
ముడి	繩結
నీలం ఎరుపు లోరీ	紅藍吸蜜鸚鵡
రొనాల్డో	罗纳尔多
ఆసనాస్థి	坐骨
ఘజిని (2008 చిత్రం)	未知死亡
పగడము	紅珊瑚
దక్షిణ దినాజ్‌పూర్	南迪奈普县
ఴ	捲舌近音
విక్టోరియా	维多利亚
యాంజియోప్లాస్టి	血管再成形術
ICD-10 అధ్యాయము 12: చర్మవ్యాధులు	ICD-10 第十二章：皮肤和皮下组织疾病
దక్షిణ భారతదేశము	印度南部
రాజౌరీ	拉朱里縣
ఇమేజ్ ఎడిటింగ్	图像编辑
చెదలు	白蟻
హుగ్లీ	胡格利區
వేరికోసిల్	精索靜脈曲張
ఫైర్‌ఫాక్స్ ఓయస్	Firefox OS
తీగ	電纜
చైన్ (యూనిట్)	鏈 (量度單位)
SAP AG	SAP公司
బి. కె. ఎస్. అయ్యంగార్	艾扬格
మానెక్‌షా	萨姆·马内克肖
ఉదయ్ చోప్రా	尤代·乔普拉
పృథ్వీరాజ్ కపూర్	普利特维拉·卡浦尔
అన్నా చక్వతడ్జే	安娜·恰克韋塔澤
ఆంగ్ల వ్యాకరణము	英語語法
బిక్సేసి	红木科
టీనియా సోలియమ్	猪肉绦虫
వికారాబాద్	维恰拉巴德
జర్స్‌ర్గుడా	賈蘇古達縣
తెలుగు లిపి	泰卢固文
హెర్బాలైఫ్‌	賀寶芙
కదంబ	团花
గూగుల్ గ్లాసెస్	Google眼镜
రక్తపోటు మందు	抗高血压药
క్రికెట్ బ్యాట్	板球球棒
యాదగిరిగుట్ట	耶达吉里古特塔
క్రైస్తవ ఛాందసవాదం	基督教基要主义
డిప్టెరోకార్పేసి	龙脑香科
పవర్ బిల్డర్	Powerbuilder
ఆమదాలవలస	阿马达拉瓦拉萨
డాట్ మ్యాట్రిక్స్ ప్రింటర్	点阵式打印机
వరిబీజం	鞘膜積液
ఉడిపి	乌杜皮
బాస్కిన్-రాబిన్స్	31冰淇淋
ఆలప్పుళా	阿勒皮
నికాన్ డి3100	尼康D3100
అమికి పట్టకం	阿米西稜鏡
గుంతకల్లు	贡塔卡尔
స్విచ్ మోడ్ పవర్ సప్లై	开关电源
కుప్పం	库普帕姆
అమలాపురం	阿马拉普拉姆
అమేథీ	阿梅蒂
బాణాసంచా	爆竹
బద్రీనాథ్	巴德里纳特普里
ఆల్మోరా	阿尔莫拉
అమర్‌ కంటక్‌	阿马尔卡恩塔克
అనకాపల్లి	阿纳卡帕尔莱
ఆసిఫాబాద్‌	阿西法巴德
అంబాజీ	阿姆巴吉
ఆరోవిల్	黎明之村
బాదామి	巴达米
టెంపుల్ రన్	神庙逃亡
సినిమాటోగ్రఫీ	电影摄影
ఫేక్	佩可縣
చంద్ర మాసము	朔望月
మైసూరు జిల్లా	邁索爾縣
చక్రం మరియు ఇరుసు	輪軸
ఔరంగాబాదు జిల్లా(మహారాష్ట్ర)	奧蘭賈巴德縣
దేశాల జాబితా – రైలు రవాణా వ్యవస్థ పరిమాణం క్రమంలో	國家鐵路里程列表
ప్రసిద్ధ సమర్రా మస్జిద్	薩邁拉大清真寺
పీల్ డిస్ట్రిక్ స్కూలు బోర్డ్	皮爾區教育局
మెథిసిల్లిన్-రెసిస్టంట్ స్టెఫిలోకాకస్ ఆరియస్	抗藥性金黃色葡萄球菌
రాజ్‌సమంద్ జిల్లా	拉吉薩曼德縣
బౌలింగ్	投球手 (木球)
సింధూ లిపి	印度河文字
వాణిజ్యం	贸易
పసరిక పాము	瘦蛇屬
ఉపన్యాసం	講述教學法
భారత ప్రామాణిక కాలమానం	印度標準時間
పానిపట్టు యుద్ధం	第一次帕尼帕特战役
క్షీరసాగర మథనం	搅乳海
మెట్‌లైఫ్	大都會人壽保險
సుడిగుండం	渦流
ప్రియాంక గాంధీ	普里揚卡·甘地
అనిష్ప సంఖ్య	無理數
కర్నాల్	卡爾納爾縣
తిరువళ్ళూరు	蒂鲁瓦卢尔
గచ్చ	云实属
తూము (కాలువ)	水門
పశ్చిమ సిక్కిం	西錫金縣
కైతాల్	開塔爾縣
సూటు	西裝
సోనాక్షి సిన్హా	索納絲·辛哈
చండాలుడు	旃陀羅
ఇంటర్నెట్ విజ్ఞాన సర్వస్వము	网络百科全书
ఆప్టోమెట్రీ	视光学
షెయోపూర్	謝奧布爾縣
ప్రతిపక్ష నాయకుడు	反對黨領袖
ఉమరియ	烏馬里亞縣
మొబైల్ యాప్స్	流動應用程式
గ్లైసీన్	甘氨酸
హోషంగాబాద్	霍桑賈巴德縣
ఆస్తికవాదం	有神论
వైద్య ఉష్ణమాపకం	醫療溫度計
ఇండియన్ ఇన్‌స్టిట్యూట్ ఆఫ్ టెక్నాలజీ	印度理工學院
ప్రియుడు	男朋友
నైట్‌ క్లబ్	夜總會
పెప్పర్ స్ప్రే	胡椒噴霧
హృదయ సూత్రం	般若波羅蜜多心經
నియాన్ దీపం	霓虹燈
ట్వీటీ	崔弟
ఆన్‌లైన్ వాణిజ్య ప్రకటన	网络广告
కుండలిని	昆達里尼
సైబర్ సెక్స్	網路調情
సబ్స్టిట్యూషన్ సైఫర్	替换式密码
ఆరావళీ పర్వత శ్రేణులు	阿拉瓦利嶺
అవశేషావయవము	痕跡器官
ది టైం మెషీన్	時間機器 (小說)
ఆహార సంస్కరణ	食品加工
కార్టూన్	卡通
రాక్షస్తల్	拉昂错
శ్రామిక చట్టం	勞工法
దేహ కుహరం	体腔
కాఫిర్	卡菲勒
నాణేల సేకరణ శాస్త్రం	钱币学
గులాబి ముఖం లవ్ బర్డ్	桃面愛情鳥
కందులు	木豆
బలంగిర్	巴朗格伊尔
బాపట్ల	巴帕特拉
బల్లార్ పూర్	巴拉尔普尔
దీమాపూర్	迪馬浦爾縣
పతనమ్ తిట్ట	帕塔南蒂塔縣
హోమినిడే	人科
ప్రపంచ పర్యాటక దినోత్సవం	世界旅游日
అరాచిస్	落花生属
సైకిల్ పంపు	打氣筒
బాంబే స్టాక్ ఎక్స్ఛేంజ్	孟买证券交易所
భారతదేశ జాతీయ స్టాక్ ఎక్స్ఛేంజ్	印度国家证券交易所
బండారులంక	班达鲁兰卡
గొడ్డా	高達縣
కారైక్కాల్	卡来卡县
మల్కాజ్‌గిరి	马尔卡杰吉里
బాలాసోర్	巴拉索尔
టోటల్ స్టేషన్	全站仪
పరిరక్షణ జీవశాస్త్రం	保育生物學
దంత విన్యాసం	齒列
జాతీయ రహదారి 1 (భారతదేశం)	國道1號 (印度)
జాతీయ రహదారి 5 (భారతదేశం)	國道5號 (印度)
జాతీయ రహదారి 7 (భారతదేశం)	國道7號 (印度)
జాతీయ రహదారి 4 (భారతదేశం)	國道4號 (印度)
జాతీయ రహదారి 2 (భారతదేశం)	國道2號 (印度)
రోవర్ (అంతరిక్ష అన్వేషణ)	探測車
వాస్కులైటిస్	血管炎
సూపర్‌నోవా 2006జివై	SN 2006gy
ఎలిఫెంటా గుహలు	象岛石窟
పారాథైరాయిడ్ గ్రంధి	副甲狀腺
బిఫోర్‌ సన్‌సెట్‌	日落巴黎
బూడిద గుమ్మడి	冬瓜
దేశాల జాబితా – ఎత్తైన స్థలం క్రమంలో	各国最高点列表
భారత్ పాకిస్తాన్ యుద్ధం 1947	克什米尔战争
డెనిమ్	牛仔布
డైఫ్రాక్షన్ గ్రేటింగ్	衍射光栅
రే-బాన్	雷朋
శ్రీరంగపట్టణం	斯赫里朗格阿帕特塔纳
లోటస్ 1-2-3	Lotus 1-2-3
పిస్టియా	大薸
వర్ణపటం	光學頻譜
సిర్మౌర్	斯爾毛縣
సజ్జలు	御穀
ఇస్లామీయ లిపీ కళాకృతులు	伊斯兰书法
కోట్టాయం	科特塔耶姆
నపుంసకుడు	海吉拉
లోమోగ్రఫీ	玩具相機攝影
ఖుర్దా	科爾達縣
భూ లఘు కక్ష్య	近地轨道
ధర్మచక్రము	法轮
లక్స్ (సబ్బు)	力士 (品牌)
గర్భాశయ గ్రీవము	子宮頸
జాతక కథలు	本生 (佛教)
తపిజిల్లా	塔皮縣
బుంది జిల్లా	奔迪縣
ICD-10 అధ్యాయము 11: జీర్ణవ్యవస్థకు చెందిన వ్యాధులు	ICD-10 第十一章：消化系统疾病
శ్రీకాకుళం	斯里卡库拉姆
ఐజాక్	以撒
జోగ్ జలపాతం	乔格法尔尔斯
పద్మ విభూషణ్ పురస్కారం	莲花赐勋章
మెరీనా బీచ్	游艇码头海滩
ఆవర్ధనము	望远镜放大倍数
దేశాల జాబితా – తీరరేఖ పొడవు క్రమంలో	各国海岸线长度列表
మాచు పిచ్చు	马丘比丘
విపాసన	觀 (佛教)
తెలంగాణ	特伦甘纳邦
స్క్వామస్ సెల్ కార్సినోమా	鳞状细胞癌
వోఖా	瓦卡縣
బలురక్కసి	蓟罂粟
మహేంద్రగఢ్	馬亨德拉加爾縣
వాస్తవ ఆస్తి	不動產
పిప్పలి	荜拔
వ్రిందావన్	沃林达文
ఒలింపస్ కార్పొరేషన్	奧林巴斯
ఒరైజా	稻属
వాసెక్టమీ	输精管切除术
రింగ్‌టోన్	电话铃声
ఎలక్ట్రానిక్ డేటా సిస్టమ్స్	电子数据系统
అయస్కాంత ససెప్టబిలిటీ	磁化率
రాహత్ ఫతే అలీ ఖాన్	拉赫·法塔·阿里·罕
నాందేడ్ జిల్లా	楠德拉縣
వికెట్-కీపర్	三柱门防守员
ఎ క్లాక్ వర్క్ ఆరంజ్	發條橘子
అంతర్జాతీయ వృక్ష నామీకరణ నియమావళి	国际藻类、真菌、植物命名法规
ఉత్తర ఢిల్లీ	北德里
దర్భ గడ్డి	白茅
డబ్బు	現金
తాత్కాలిక హక్కు	担保物权
మౌంట్ అబూ	莫乌恩特阿布
భారత పార్లమెంటు	印度议会
కోసీ నది	戈西河
సిపాయి	印度兵
వైకుంఠపాళీ	蛇梯棋
విరాళం	贈與
బారామతి	巴拉马蒂
దేశాల జాబితా – జనసంఖ్య క్రమంలో	国家人口列表
అధివృక్క గ్రంధి	腎上腺
బర్గఢ్	巴尔加尔
శోషరస వ్యవస్థ	淋巴系統
ప్రపంచంలోని కొత్త ఏడు అద్భుతాలు	世界新七大奇迹
క్రిస్ మార్టిన్	克里斯·馬汀
శ్రోణి మేఖల	骨盆
చెంగల్వ	文殊蘭
మేడి	聚果榕
కళింగ యుద్ధం	羯陵伽战争
టెయిడ్ నేషనల్ పార్క్	泰德國家公園
వాల్మీకి	蚁垤
గంగరావి	恆春黃槿
వాజ్యపుచెట్టు	刺桐
కయీను	該隱與亞伯
బొంబాక్స్	木棉属
గాసిపియమ్	棉花屬
వెంకటగిరి	文卡塔吉里
సిఎన్‌జి గ్యాసు	壓縮天然氣
గురువాయూరు	古鲁瓦约奥尔
స్ప్రింగ్ ఫ్రేమ్‌వర్క్	Spring Framework
హిస్సాప్	神香草属
కిరండూల్	基兰杜尔
మంచిర్యాల	曼切里亚尔
సింగరాయకొండ	辛格拉耶孔达
పొన్నూరు	蓬努尔
యర్రగుంట్ల	耶尔拉贡特拉
తాండూరు	坦杜尔
రేణిగుంట	雷尼贡塔
రామచంద్రాపురం	拉马钱德拉普拉姆
చండూరు	钱杜尔 (安得拉邦)
ఇల్లందు	耶尔兰杜
ఉమ్మడి కుటుంబం	家族
డిల్బర్ట్	呆伯特
అశ్వమేధ యాగం	馬祭
అశ్వినీ దేవతలు	双马童
కోలారు	戈拉尔
కాంగ్రా	坎格拉縣
దొండ కాయ	红瓜
ఋగ్వేదం	梨俱吠陀
భాగస్వామ్యం	合伙企业
నికాన్ డి3200	尼康D3200
సంజయ్ గాంధీ	桑賈伊·甘地
ఆస్ట్రేలియన్ సింగిల్స్ టెన్నిస్ చాంపియన్‌షిప్ మహిళల విజేతల పట్టిక	澳大利亚网球公开赛女子单打冠军列表
జార్జి బెంథామ్	乔治·边沁
ఇస్మాయిల్ మర్చెంట్	伊斯梅尔·莫香特
కేంద్రీయ ప్రవృత్తి మాపనాలు	集中趋势
బ్రంచ్	早午餐
ఉఖ్రుల్	烏克魯爾縣
మాంసకృత్తుల ఆకృతి	蛋白质结构
శుక్రవాహిక	输精管
ఉరవకొండ	乌拉瓦科恩达
వింబుల్డన్, లండన్	温布尔登 (伦敦)
కింగ్‌డమ్‌ టవర్	王國塔
వినోద్ ఖోస్లా	維諾德·柯斯拉
చంద్రశేఖర్ అజాద్	錢德拉·謝卡爾·阿扎德
అస్సాం టీ	阿萨姆红茶
నీటి తేలు	蠍蝽科
హౌరా వంతెన	豪拉大桥
హుగ్లీ నది	胡格利河
ప్రపంచ ఎడమచేతి వాటం ప్రజల దినోత్సవం	國際左撇子日
కేదార్‌నాథ్	凯达尔纳特
జ్యోతిషం	印度占星學
చికమగలూరు జిల్లా	奇克馬加盧爾縣
ట్రాన్స్మిషన్ ఎలక్ట్రాన్ మైక్రోస్కోపీ	透射电子显微镜
ఇస్లామీయ స్వర్ణయుగం	伊斯蘭黃金時代
కత్ని	卡特尼縣
నారాయణ	那罗延
బిందు సేద్యం	滴灌
బాహిన్	鮑欣家族
పలుగుపార	灰匙
అశ్లీల సాహిత్యం	情色文學
కాలిబ్రె (సాఫ్ట్వేర్)	Calibre
ధమ్మపదం	法句經
రియా సేన్	丽娅·森
ఆస్ట్రేలియన్ సింగిల్స్ టెన్నిస్ చాంపియన్‌షిప్ పురుషుల విజేతల పట్టిక	澳大利亚网球公开赛男子单打冠军列表
పుష్కర్	普斯赫卡尔
కోణార్క్	科纳尔克
అల్పాహారం	零食
భారతదేశంలో మిలియన్ జనాభా నగరాలు	印度最多人口的城市列表
మమిట్	马米特县
కోణార్క సూర్య దేవాలయం	科纳克太阳神庙
డీఅలంబర్ట్ సూత్రము	達朗貝爾原理
స్క్రీన్ సేవర్	螢幕保護裝置
విబ్రియో	弧菌屬
ఆంగ్ల అక్షరమాల	英文字母
ఋషి	仙人 (印度神话)
సరుగుడు	木麻黄属
క్రిమియా	克里米亚自治共和国
ICD-10 అధ్యాయము 1: అంటువ్యాధులు మరియు పరాన్నజీవులకు సంబంధించిన వ్యాధులు	ICD-10 第一章：某些传染病和寄生虫病
అంతర్జాతీయ అక్షరాస్యతా దినోత్సవం	国际扫盲日
అశోకవృక్షం	無憂樹
అత్రి	阿低利
భీమవరం	贝埃马瓦拉姆
భద్రాచలం	巴德拉恰拉姆
బెల్లంపల్లి	贝尔拉姆帕尔莱
భైంసా	拜恩萨
హిందూపురం	希恩杜普尔
అనంతపురం	阿纳恩塔普尔
సైసర్	鹰咀豆属
పారిజాతం	夜花
కన్యాశుల్కం	聘礼
హవేరి	哈韋里縣
జీలుగ	董棕
జెముడుకాకి	褐翅鸦鹃
సాహిబ్‌గంజ్	賽義布甘傑縣
సింధుదుర్గ్ జిల్లా	辛杜杜爾格縣
కటకము (వస్తువు)	透镜
స్ప్రింగ్ త్రాసు	弹簧秤
పాల్వంచ	帕尔瓦恩恰
పన్నీరు పువ్వు	海岸桐
తైత్తిరీయోపనిషత్తు	鹧鸪氏奥义书
నైనీటాల్	奈尼塔尔
గంజాం	甘賈姆縣
ఫీడ్‌బర్నర్	Google FeedBurner
రామన్ మెగసెసే పురస్కారం	拉蒙·麦格塞塞奖
స్మిర్నోఫ్	斯米诺伏特加
బికనీర్ జిల్లా	比卡內爾縣
కూబర్‌ పెడీ	库伯佩地
ముస్లిం ప్రపంచం	穆斯林世界
గ్రాఫికల్ యూజర్ ఇంటర్ ఫేస్	图形用户界面
కంపెనీ (చట్టం)	公司
ఏకమార్గం	单行道
ICD-10 అధ్యాయము 4: వినాళగ్రంధులు, పోషకాహార మరియు జీవక్రియ సంబంధిత వ్యాధులు	ICD-10 第四章：内分泌、营养和代谢疾病
ICD-10 అధ్యాయము 6: నాడీ వ్యవస్థకు సంబంధించిన వ్యాధులు	ICD-10 第六章：神经系统疾病
ICD-10 అధ్యాయము 10: శ్వాస సంబంధ వ్యాధులు	ICD-10 第十章：呼吸系统疾病
